                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3492,                0.66518,                 1.0337,                0.86531,                 0.6451,                0.72564,                0.40917,                  1.282,                0.55163,                 1.0446,                 0.0054,                 0.0054,                 0.0054
                     49,                 1.3562,                0.66503,                 1.0285,                0.86165,                0.64998,                0.72732,                   0.41,                 1.2805,                0.54872,                 1.0427,                 0.0053,                 0.0053,                 0.0053
                     50,                  1.345,                0.65532,                 1.0288,                0.86611,                0.64823,                0.72906,                0.41121,                 1.2805,                0.54693,                 1.0418,                 0.0052,                 0.0052,                 0.0052
                     51,                  1.347,                0.65758,                 1.0316,                0.86657,                0.64696,                0.72919,                0.41088,                 1.2799,                0.54531,                 1.0446,                 0.0051,                 0.0051,                 0.0051
                     52,                 1.3511,                0.66143,                 1.0294,                0.86548,                0.64859,                0.72975,                0.41152,                 1.2798,                0.54623,                 1.0451,              0.0050001,              0.0050001,              0.0050001
                     53,                 1.3533,                0.66263,                 1.0297,                0.86312,                 0.6505,                0.73067,                0.41146,                 1.2805,                0.54684,                 1.0477,              0.0049001,              0.0049001,              0.0049001
                     54,                 1.3437,                0.65285,                 1.0284,                0.86603,                0.65199,                0.73125,                 0.4132,                 1.2781,                0.54509,                 1.0485,              0.0048001,              0.0048001,              0.0048001
                     55,                 1.3338,                0.65101,                 1.0252,                0.86746,                0.65121,                0.73172,                 0.4129,                  1.277,                0.54277,                 1.0452,              0.0047001,              0.0047001,              0.0047001
                     56,                  1.341,                0.65016,                 1.0232,                0.86744,                0.65071,                0.73358,                0.41348,                 1.2768,                0.54034,                 1.0423,              0.0046001,              0.0046001,              0.0046001
                     57,                 1.3444,                0.65179,                 1.0233,                0.86531,                0.65242,                0.73358,                0.41387,                 1.2752,                0.54002,                 1.0411,              0.0045001,              0.0045001,              0.0045001
                     58,                 1.3299,                0.64508,                 1.0232,                0.86533,                0.65557,                0.73492,                0.41506,                 1.2752,                0.53787,                 1.0411,              0.0044001,              0.0044001,              0.0044001
                     59,                 1.3349,                0.64483,                  1.025,                0.86303,                0.65744,                0.73524,                0.41508,                 1.2739,                0.53677,                 1.0415,              0.0043001,              0.0043001,              0.0043001
                     60,                 1.3247,                0.63983,                 1.0169,                0.86711,                0.65519,                0.73532,                0.41511,                 1.2746,                0.53639,                 1.0412,              0.0042001,              0.0042001,              0.0042001
                     61,                 1.3025,                0.61923,                 1.0115,                0.87029,                0.65612,                0.73756,                0.41616,                 1.2734,                0.53355,                 1.0402,              0.0041001,              0.0041001,              0.0041001
                     62,                 1.3174,                0.63049,                 1.0207,                0.87269,                0.65506,                0.73831,                0.41695,                 1.2712,                0.53208,                 1.0404,              0.0040001,              0.0040001,              0.0040001
                     63,                 1.3197,                0.63036,                  1.016,                0.87155,                0.65621,                0.73925,                0.41785,                 1.2699,                0.53098,                 1.0409,              0.0039001,              0.0039001,              0.0039001
